date,best,worst
2005-01,-0.011183891192777072,-0.10105181480190366
2005-02,0.026001906091114503,-0.028976725740358228
2005-03,-0.016648070500232273,-0.08967466053727546
2005-04,-0.02354545383132062,-0.10915230779617557
2005-05,0.04271243743161902,0.0660553508810699
2005-06,0.05795009601570198,0.0179126407566946
2005-07,0.05431433488032779,0.0558579108795675
2005-08,-0.012561727023421548,-0.042849311028840015
2005-09,0.009592712673388766,-0.028019916452467437
2005-10,0.0015184171678265534,-0.08110672195907681
2005-11,0.037025605794333366,0.023639357600768567
2005-12,0.0061533541872904616,-0.01180983276790356
2006-01,0.0648896120858262,0.07250256236002314
2006-02,-0.005906794222537431,0.001290866716590252
2006-03,0.045939554162323454,0.04179528384906006
2006-04,0.011493763525504616,0.0019015675461392034
2006-05,-0.014721052130043957,-0.07075412021949887
2006-06,0.004065123296459206,-0.014121042412880336
2006-07,-0.012109176404483139,-0.06182039616920518
2006-08,0.026428129699779666,0.03397102218416806
2006-09,0.017855414588993875,0.007370105161244286
2006-10,0.036357790699112214,0.07878697510517667
2006-11,0.017831601929792665,0.026005715708015492
2006-12,0.01401039213400507,0.009553221325786575
2007-01,-0.007274740628199643,0.061516009006736566
2007-02,-0.01833151051585445,0.0002018019126262602
2007-03,-0.0024436189371044724,-0.019588046603021207
2007-04,-0.00995454243311541,0.023981778800953184
2007-05,0.00889334160980069,0.009533190081128854
2007-06,-0.015667234581778745,-0.002474191399087419
2007-07,-0.07711867875943423,-0.05685357203590682
2007-08,0.0078634134902677,-0.03911895407367409
2007-09,0.007894512080734682,0.004268105086957808
2007-10,-0.019638153774430966,0.024219203389948235
2007-11,-0.04444204159721265,-0.13123042364430146
2007-12,-0.021888310869665008,-0.06539029096456941
2008-01,-0.011664643335388964,-0.050954386930097816
2008-02,-0.04780484391980279,-0.061523567778058334
2008-03,0.00482446927722776,-0.0485014660086017
2008-04,0.002637657916566245,-0.0018892392597626827
2008-05,0.02804707330389646,0.0435811971174553
2008-06,-0.06628313472720035,-0.12438719368539748
2008-07,0.08288119837002339,-0.03523895414022263
2008-08,0.027945083287777367,0.0031116381971514795
2008-09,0.0203745945263654,-0.15889763479848623
2008-10,-0.09931603695004013,-0.26707593389553946
2008-11,-0.08651072251406729,-0.17825168817827944
2008-12,0.012736107884265943,0.014750049870926889
2009-01,-0.10653895849696708,0.015067548195365826
2009-02,-0.11377080429767374,-0.11434462797245941
2009-03,0.07950149593292735,0.13771068134810774
2009-04,0.09047633508162106,0.269065702566877
2009-05,0.029328852799953883,0.1369029629207216
2009-06,0.009741681346495173,0.08583358710282482
2009-07,0.05367423322342801,0.09755586544983087
2009-08,0.004389640266308564,0.06410992729128338
2009-09,0.022677098806161658,0.15333435570762957
2009-10,-0.04408703126711769,-0.10056822127662597
2009-11,0.012847435725416285,0.017624017891939733
2009-12,0.044172081931610575,0.08515537425584625
2010-01,-0.03528408782556651,0.1599513177468907
2010-02,0.04896833111655722,0.004141278132156012
2010-03,0.07690993634401819,0.05597727079060859
2010-04,0.08609875205962451,0.23707672701915727
2010-05,-0.08331271288087005,-0.14244176267347938
2010-06,-0.07129784671695139,-0.16282351678702978
2010-07,0.07628296071954535,0.047826495182234786
2010-08,-0.05712589916452995,-0.10518708831019465
2010-09,0.11532575161167184,0.1046573484642431
2010-10,0.07489663548927634,0.03175178763340227
2010-11,0.05946103927242802,-0.028472935657046033
2010-12,0.07804276392067547,0.11047164238058028
2011-01,0.038943227667623426,0.08714311972831638
2011-02,0.04451235272368646,-0.012464649607572932
2011-03,0.02206102884592836,-0.01937277361517771
2011-04,0.010363953696214592,-0.003522473332122898
2011-05,-0.018592572890956935,-0.016939176744781424
2011-06,-0.005269251768279884,-0.07412691532168536
2011-07,-0.023587708812265174,-0.04185526370827573
2011-08,-0.055234249310196895,-0.1541010475461371
2011-09,-0.0783196963195223,-0.16401570021989753
2011-10,0.094039387749508,0.12427112450270213
2011-11,-0.003182344021479368,-0.0709572094833129
2011-12,0.016452622389770112,0.006230155955709054
2012-01,0.04486123439106448,0.18941812992561605
2012-02,0.036203091454808586,0.06401798111248352
2012-03,0.009976892672129905,0.055650373254320575
2012-04,-0.007442572097334046,-0.0028427271748660086
2012-05,-0.09884763177120474,-0.0749557316751452
2012-06,0.06812175664759705,0.0005783005245029935
2012-07,-0.015400752268469653,-0.019191096670110697
2012-08,0.03307703630489412,0.017914677248336376
2012-09,0.035588954966224245,0.08376599419356351
2012-10,-0.0030830283829709456,-0.05756773706409147
2012-11,-0.009888781538757017,0.004981488889970933
2012-12,0.024950273873982933,0.03246769403223879
2013-01,0.07613280948251484,0.11718999310454818
2013-02,0.00690488999142871,-0.011002567010000346
2013-03,0.044749614108441145,0.05803601419480401
2013-04,0.010015355789946634,0.006687638557705219
2013-05,0.043290077459532755,0.07137656718085053
2013-06,0.001146998068725225,-0.029892802471586034
2013-07,0.08795419612200017,0.11357678861590101
2013-08,-0.030685966749442718,-0.033861606162972735
2013-09,0.04787402955509603,0.06737881358734739
2013-10,0.039691727295867146,-0.0058865981543203775
2013-11,0.041203111939830686,0.0706525899952976
2013-12,0.015315055618702894,0.01744964233279461
2014-01,-0.018203902261739117,0.005456514228135355
2014-02,0.04887374408412141,0.06054026699886889
2014-03,0.022086399904487512,-0.037316751569742325
2014-04,-0.0205245606380049,-0.08854040633246767
2014-05,-0.00047501301349256995,-0.017376713539124466
2014-06,0.04219248037552458,0.02957510620311949
2014-07,-0.048819196639160484,-0.050081835724995444
2014-08,0.03313680206934803,0.030922974071581833
