,Unnamed: 0,0,date,0
LAUR,,,2023-03-17,56
LAW,,,2023-03-17,-25
LBAI,,,2023-03-17,36
LBRT,,,2023-03-17,52
LE,,,2023-03-17,-17
LFCR,,,2023-03-17,-90
LFST,,,2023-03-17,-23
LINC,,,2023-03-17,107
LMNR,,,2023-03-17,37
LMST,,,2023-03-17,27
LPRO,,,2023-03-17,-24
LRN,,,2023-03-17,16
LUNG,,,2023-03-17,-12
LWLG,,,2023-03-17,-33
LYFT,,,2023-03-17,-15
LZB,,,2023-03-17,20
MASS,,,2023-03-17,-21
MBUU,,,2023-03-17,11
MBWM,,,2023-03-17,21
MCB,,,2023-03-17,-4
MCRB,,,2023-03-17,-29
MDU,,,2023-03-17,22
MGTX,,,2023-03-17,-27
MLI,,,2023-03-17,8
MNTV,,,2023-03-17,-16
MOFG,,,2023-03-17,26
MOV,,,2023-03-17,17
MPB,,,2023-03-17,22
MRC,,,2023-03-17,68
MRNS,,,2023-03-17,-23
MRTX,,,2023-03-17,-3
MRUS,,,2023-03-17,-7
MRVI,,,2023-03-17,-10
MTDR,,,2023-03-17,13
MTG,,,2023-03-17,53
MTH,,,2023-03-17,5
MTRX,,,2023-03-17,-29
MUR,,,2023-03-17,18
NBTB,,,2023-03-17,17
NCLH,,,2023-03-17,-11
NE,,,2023-03-17,16
NECB,,,2023-03-17,47
NG,,,2023-03-17,-25
NJR,,,2023-03-17,11
NMIH,,,2023-03-17,30
NPO,,,2023-03-17,6
NRIX,,,2023-03-17,-18
NSIT,,,2023-03-17,4
NSTG,,,2023-03-17,-19
NTLA,,,2023-03-17,-4
NTRA,,,2023-03-17,-2
NUS,,,2023-03-17,16
NUVL,,,2023-03-17,-5
NVRO,,,2023-03-17,-5
NXST,,,2023-03-17,3
OCN,,,2023-03-17,-7
OCUL,,,2023-03-17,-29
OM,,,2023-03-17,-7
OMCL,,,2023-03-17,-2
OMF,,,2023-03-17,17
OMGA,,,2023-03-17,-19
OMI,,,2023-03-17,-11
ONL,,,2023-03-17,-25
ONTO,,,2023-03-17,6
OPRX,,,2023-03-17,-11
OPY,,,2023-03-17,15
ORC,,,2023-03-17,59
ORCC,,,2023-03-17,53
OTTR,,,2023-03-17,8
PANL,,,2023-03-17,118
PATK,,,2023-03-17,9
PAY,,,2023-03-17,-21
PBF,,,2023-03-17,14
PBH,,,2023-03-17,9
PBT,,,2023-03-17,-7
PCRX,,,2023-03-17,-4
PCVX,,,2023-03-17,-4
PDCE,,,2023-03-17,10
PEBO,,,2023-03-17,22
PEGA,,,2023-03-17,-3
PETQ,,,2023-03-17,-13
PFS,,,2023-03-17,32
PGC,,,2023-03-17,19
PI,,,2023-03-17,-1
PLUS,,,2023-03-17,12
PMVP,,,2023-03-17,-29
PRIM,,,2023-03-17,24
PRLB,,,2023-03-17,-5
PRMW,,,2023-03-17,45
PRVB,,,2023-03-17,-6
PTEN,,,2023-03-17,57
PTGX,,,2023-03-17,-7
PTON,,,2023-03-17,-14
PVBC,,,2023-03-17,-22
QCRH,,,2023-03-17,14
QTRX,,,2023-03-17,-12
QTWO,,,2023-03-17,-6
R,,,2023-03-17,7
RAIN,,,2023-03-17,-20
RARE,,,2023-03-17,-4
RCM,,,2023-03-17,-11
RCUS,,,2023-03-17,-10
RDFN,,,2023-03-17,-17
RDN,,,2023-03-17,32
REPX,,,2023-03-17,19
RGP,,,2023-03-17,34
RRGB,,,2023-03-17,-12
RRR,,,2023-03-17,-3
RVNC,,,2023-03-17,-4
RVSB,,,2023-03-17,113
RYTM,,,2023-03-17,-8
S,,,2023-03-17,-10
SBOW,,,2023-03-17,21
SCHL,,,2023-03-17,14
SD,,,2023-03-17,18
SFIX,,,2023-03-17,-28
SHC,,,2023-03-17,-8
SIG,,,2023-03-17,8
SILK,,,2023-03-17,-3
SIRE,,,2023-03-17,25
SM,,,2023-03-17,23
SMBK,,,2023-03-17,28
SMG,,,2023-03-17,-2
SMLR,,,2023-03-17,-7
SNDR,,,2023-03-17,23
SON,,,2023-03-17,11
SPFI,,,2023-03-17,29
SPH,,,2023-03-17,43
SPOK,,,2023-03-17,10
SPR,,,2023-03-17,-5
SRCE,,,2023-03-17,14
SRDX,,,2023-03-17,-8
SRRK,,,2023-03-17,-15
STBA,,,2023-03-17,18
STEL,,,2023-03-17,23
STOK,,,2023-03-17,-18
STRL,,,2023-03-17,15
SWTX,,,2023-03-17,-5
SXI,,,2023-03-17,5
SYBT,,,2023-03-17,11
SYNH,,,2023-03-17,-4
TBBK,,,2023-03-17,21
TCBK,,,2023-03-17,14
TCX,,,2023-03-17,-7
TDOC,,,2023-03-17,-6
TELA,,,2023-03-17,-16
TGNA,,,2023-03-17,42
TGTX,,,2023-03-17,-10
THFF,,,2023-03-17,15
THRY,,,2023-03-17,-7
TIG,,,2023-03-17,-24
TITN,,,2023-03-17,21
TMDX,,,2023-03-17,-2
TMHC,,,2023-03-17,16
TNDM,,,2023-03-17,-3
TOL,,,2023-03-17,11
TPB,,,2023-03-17,-8
TPH,,,2023-03-17,26
TPIC,,,2023-03-17,-14
TREE,,,2023-03-17,-6
TRST,,,2023-03-17,17
TSE,,,2023-03-17,-8
TVTX,,,2023-03-17,-7
TWI,,,2023-03-17,63
TWST,,,2023-03-17,-9
UBFO,,,2023-03-17,103
UFI,,,2023-03-17,-17
UFPI,,,2023-03-17,7
ULH,,,2023-03-17,24
UPWK,,,2023-03-17,-14
UVE,,,2023-03-17,32
UVSP,,,2023-03-17,25
UVV,,,2023-03-17,11
VCTR,,,2023-03-17,21
VERA,,,2023-03-17,-21
VLGEA,,,2023-03-17,28
VOR,,,2023-03-17,-29
VRNA,,,2023-03-17,-8
VRTV,,,2023-03-17,5
VSH,,,2023-03-17,31
VTLE,,,2023-03-17,14
VTYX,,,2023-03-17,-4
VVI,,,2023-03-17,-8
VYGR,,,2023-03-17,-18
WERN,,,2023-03-17,15
WGO,,,2023-03-17,10
WHR,,,2023-03-17,-1
WIRE,,,2023-03-17,3
WK,,,2023-03-17,-1
WNEB,,,2023-03-17,68
WRBY,,,2023-03-17,-15
WWW,,,2023-03-17,-9
XAIR,,,2023-03-17,-23
ZETA,,,2023-03-17,-16
ZNTL,,,2023-03-17,-8
ZUO,,,2023-03-17,-16
ZYME,,,2023-03-17,77
